Year,Month,TMax,TMin,Frost,Rainfall,Sunshine,Status
1956,5,16.5,7.9,N/A,20.8,283.5,Confirmed
1956,6,17.4,10.1,N/A,44.2,232.8,Confirmed
1956,7,19.6,12.8,N/A,116.1,185.7,Confirmed
1956,8,17.9,11.7,N/A,76.2,205.0,Confirmed
1956,9,18.1,12.9,N/A,126.0,93.4,Confirmed
1956,10,14.7,8.4,N/A,62.0,122.3,Confirmed
1956,11,10.5,5.9,N/A,37.6,65.5,Confirmed
1956,12,9.8,6.2,N/A,93.0,23.3,Confirmed
1957,1,9.2,5.2,N/A,64.8,53.9,Confirmed
1957,2,10.0,4.8,N/A,128.5,89.9,Confirmed
1957,3,13.7,8.3,N/A,76.7,117.3,Confirmed
1957,4,14.3,6.6,N/A,5.1,212.9,Confirmed
1957,5,15.9,7.6,N/A,52.6,255.0,Confirmed
1957,6,21.1,10.5,N/A,40.6,336.8,Confirmed
1957,7,20.2,13.8,N/A,79.2,174.4,Confirmed
1957,8,19.4,13.1,N/A,80.5,163.7,Confirmed
1957,9,17.1,11.7,N/A,115.3,135.9,Confirmed
1957,10,15.8,9.8,N/A,108.7,93.9,Confirmed
1957,11,10.0,5.6,N/A,49.3,65.1,Confirmed
1957,12,8.9,4.1,N/A,49.0,60.4,Confirmed
1958,1,7.9,3.6,N/A,66.8,46.8,Confirmed
1958,2,9.7,5.9,N/A,100.3,45.8,Confirmed
1958,3,8.6,2.8,N/A,22.6,126.3,Confirmed
1958,4,12.0,4.7,N/A,21.3,160.4,Confirmed
1958,5,15.5,8.3,N/A,71.9,212.0,Confirmed
1958,6,17.4,10.8,N/A,100.3,206.9,Confirmed
1958,7,19.4,12.8,N/A,55.4,167.1,Confirmed
1958,8,19.1,13.6,N/A,128.3,110.1,Confirmed
1958,9,19.8,13.1,N/A,132.1,149.5,Confirmed
1958,10,14.9,9.9,N/A,108.7,108.1,Confirmed
1958,11,11.0,6.3,N/A,99.8,53.3,Confirmed
1958,12,9.2,4.4,N/A,105.2,48.0,Confirmed
1959,1,N/A,N/A,N/A,N/A,93.1,Confirmed
1959,2,N/A,N/A,N/A,N/A,98.6,Confirmed
1959,3,N/A,N/A,N/A,N/A,120.0,Confirmed
1959,4,N/A,N/A,N/A,N/A,177.4,Confirmed
1959,5,N/A,N/A,N/A,N/A,264.7,Confirmed
1959,6,N/A,N/A,N/A,N/A,283.1,Confirmed
1959,7,N/A,N/A,N/A,N/A,263.7,Confirmed
1959,8,N/A,N/A,N/A,N/A,226.9,Confirmed
1959,9,N/A,N/A,N/A,N/A,254.7,Confirmed
1959,10,N/A,N/A,N/A,N/A,121.6,Confirmed
1959,11,N/A,N/A,N/A,N/A,56.5,Confirmed
1959,12,N/A,N/A,N/A,N/A,32.2,Confirmed
1960,1,N/A,N/A,N/A,N/A,51.2,Confirmed
1960,2,N/A,N/A,N/A,N/A,99.0,Confirmed
1960,3,N/A,N/A,N/A,N/A,102.2,Confirmed
1960,4,N/A,N/A,N/A,N/A,220.9,Confirmed
1960,5,N/A,N/A,N/A,N/A,191.7,Confirmed
1960,6,N/A,N/A,N/A,N/A,289.8,Confirmed
1960,7,N/A,N/A,N/A,N/A,186.6,Confirmed
1960,8,N/A,N/A,N/A,N/A,189.0,Confirmed
1960,9,N/A,N/A,N/A,N/A,132.9,Confirmed
1960,10,N/A,N/A,N/A,N/A,86.5,Confirmed
1960,11,N/A,N/A,N/A,N/A,75.8,Confirmed
1960,12,N/A,N/A,N/A,N/A,66.5,Confirmed
1961,1,N/A,N/A,N/A,121.9,39.6,Confirmed
1961,2,N/A,N/A,N/A,50.7,60.8,Confirmed
1961,3,N/A,N/A,N/A,10.0,139.6,Confirmed
1961,4,N/A,N/A,N/A,125.8,117.8,Confirmed
1961,5,N/A,N/A,N/A,23.7,290.5,Confirmed
1961,6,N/A,N/A,N/A,24.3,257.8,Confirmed
1961,7,N/A,N/A,N/A,46.5,212.9,Confirmed
1961,8,N/A,N/A,N/A,86.7,194.6,Confirmed
1961,9,N/A,N/A,N/A,69.0,144.7,Confirmed
1961,10,N/A,N/A,N/A,186.6,100.0,Confirmed
1961,11,N/A,N/A,N/A,54.1,65.3,Confirmed
1961,12,N/A,N/A,N/A,90.2,75.1,Confirmed
1962,1,N/A,N/A,N/A,113.7,56.0,Confirmed
1962,2,N/A,N/A,N/A,25.6,83.6,Confirmed
1962,3,N/A,N/A,N/A,58.3,152.8,Confirmed
1962,4,N/A,N/A,N/A,57.5,188.2,Confirmed
1962,5,N/A,N/A,N/A,45.9,212.6,Confirmed
1962,6,N/A,N/A,N/A,22.6,301.7,Confirmed
1962,7,N/A,N/A,N/A,45.6,193.9,Confirmed
1962,8,N/A,N/A,N/A,60.0,167.5,Confirmed
1962,9,N/A,N/A,N/A,77.3,135.0,Confirmed
1962,10,N/A,N/A,N/A,19.8,144.2,Confirmed
1962,11,N/A,N/A,N/A,55.4,53.2,Confirmed
1962,12,N/A,N/A,N/A,48.9,67.2,Confirmed
1963,1,N/A,N/A,N/A,17.1,103.9,Confirmed
1963,2,N/A,N/A,N/A,33.8,94.5,Confirmed
1963,3,N/A,N/A,N/A,96.0,119.3,Confirmed
1963,4,N/A,N/A,N/A,77.7,153.2,Confirmed
1963,5,N/A,N/A,N/A,28.8,200.5,Confirmed
1963,6,N/A,N/A,N/A,54.6,202.8,Confirmed
1963,7,N/A,N/A,N/A,86.3,189.3,Confirmed
1963,8,N/A,N/A,N/A,107.8,138.4,Confirmed
1963,9,N/A,N/A,N/A,36.4,150.3,Confirmed
1963,10,N/A,N/A,N/A,41.7,75.7,Confirmed
1963,11,N/A,N/A,N/A,192.6,63.0,Confirmed
